"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030101a Gamle Oslo";"37 years";1352
"030101a Gamle Oslo";"38 years";1247
"030101a Gamle Oslo";"39 years";1132
"030101a Gamle Oslo";"40 years";1054
"030101a Gamle Oslo";"41 years";1042
"030101a Gamle Oslo";"42 years";932
"030101a Gamle Oslo";"43 years";907
"030101a Gamle Oslo";"44 years";920
"030101a Gamle Oslo";"45 years";874
"030101a Gamle Oslo";"46 years";806
"030101a Gamle Oslo";"47 years";760
"030101a Gamle Oslo";"48 years";739
"030101a Gamle Oslo";"49 years";773
"030101a Gamle Oslo";"50 years";675
"030101a Gamle Oslo";"51 years";671
"030101a Gamle Oslo";"52 years";637
"030101a Gamle Oslo";"53 years";608
"030101a Gamle Oslo";"54 years";595
"030101a Gamle Oslo";"55 years";601
"030101a Gamle Oslo";"56 years";554
"030101a Gamle Oslo";"57 years";558
"030101a Gamle Oslo";"58 years";504
"030101a Gamle Oslo";"59 years";513
"030101a Gamle Oslo";"60 years";467
"030101a Gamle Oslo";"61 years";440
"030101a Gamle Oslo";"62 years";397
"030101a Gamle Oslo";"63 years";416
"030101a Gamle Oslo";"64 years";385
"030101a Gamle Oslo";"65 years";362
"030101a Gamle Oslo";"66 years";396
"030101a Gamle Oslo";"67 years";351
"030101a Gamle Oslo";"68 years";329
"030101a Gamle Oslo";"69 years";283
"030101a Gamle Oslo";"70 years";288
"030101a Gamle Oslo";"71 years";302
"030101a Gamle Oslo";"72 years";256
"030101a Gamle Oslo";"73 years";249
"030101a Gamle Oslo";"74 years";228
"030101a Gamle Oslo";"75 years";225
"030101a Gamle Oslo";"76 years";201
"030101a Gamle Oslo";"77 years";171
"030101a Gamle Oslo";"78 years";146
"030101a Gamle Oslo";"79 years";111
"030101a Gamle Oslo";"80 years";80
"030101a Gamle Oslo";"81 years";99
"030101a Gamle Oslo";"82 years";64
"030101a Gamle Oslo";"83 years";66
"030101a Gamle Oslo";"84 years";58
"030101a Gamle Oslo";"85 years";52
"030101a Gamle Oslo";"86 years";40
"030101a Gamle Oslo";"87 years";39
"030101a Gamle Oslo";"88 years";29
"030101a Gamle Oslo";"89 years";33
"030101a Gamle Oslo";"90 years";28
"030101a Gamle Oslo";"91 years";21
"030101a Gamle Oslo";"92 years";16
"030101a Gamle Oslo";"93 years";12
"030101a Gamle Oslo";"94 years";13
"030101a Gamle Oslo";"95 years";17
"030101a Gamle Oslo";"96 years";13
"030101a Gamle Oslo";"97 years";7
"030101a Gamle Oslo";"98 years";7
"030101a Gamle Oslo";"99 years";4
"030101a Gamle Oslo";"100 years";2
"030101a Gamle Oslo";"101 years";2
"030101a Gamle Oslo";"102 years";4
"030101a Gamle Oslo";"103 years";0
"030101a Gamle Oslo";"104 years";0
"030101a Gamle Oslo";"105 years or older";7
"030102a Grünerløkka";"0 years";1094
"030102a Grünerløkka";"1 year";787
"030102a Grünerløkka";"2 years";707
"030102a Grünerløkka";"3 years";575
"030102a Grünerløkka";"4 years";556
"030102a Grünerløkka";"5 years";534
"030102a Grünerløkka";"6 years";464
"030102a Grünerløkka";"7 years";463
"030102a Grünerløkka";"8 years";405
"030102a Grünerløkka";"9 years";401
"030102a Grünerløkka";"10 years";421
"030102a Grünerløkka";"11 years";372
"030102a Grünerløkka";"12 years";393
"030102a Grünerløkka";"13 years";327
"030102a Grünerløkka";"14 years";342
"030102a Grünerløkka";"15 years";321
"030102a Grünerløkka";"16 years";319
"030102a Grünerløkka";"17 years";283
"030102a Grünerløkka";"18 years";337
"030102a Grünerløkka";"19 years";430
"030102a Grünerløkka";"20 years";656
"030102a Grünerløkka";"21 years";918
"030102a Grünerløkka";"22 years";1126
"030102a Grünerløkka";"23 years";1299
"030102a Grünerløkka";"24 years";1489
"030102a Grünerløkka";"25 years";1956
