"region"	"age"	"Persons 2020"
"K-3002 Moss"	"40 years"	616
"K-3002 Moss"	"41 years"	645
"K-3002 Moss"	"42 years"	638
"K-3002 Moss"	"43 years"	631
"K-3002 Moss"	"44 years"	701
"K-3002 Moss"	"45 years"	735
"K-3002 Moss"	"46 years"	723
"K-3002 Moss"	"47 years"	762
"K-3002 Moss"	"48 years"	773
"K-3002 Moss"	"49 years"	737
"K-3002 Moss"	"50 years"	796
"K-3002 Moss"	"51 years"	806
"K-3002 Moss"	"52 years"	751
"K-3002 Moss"	"53 years"	731
"K-3002 Moss"	"54 years"	769
"K-3002 Moss"	"55 years"	750
"K-3002 Moss"	"56 years"	689
"K-3002 Moss"	"57 years"	668
"K-3002 Moss"	"58 years"	639
"K-3002 Moss"	"59 years"	622
"K-3002 Moss"	"60 years"	668
"K-3002 Moss"	"61 years"	601
"K-3002 Moss"	"62 years"	598
"K-3002 Moss"	"63 years"	575
"K-3002 Moss"	"64 years"	582
"K-3002 Moss"	"65 years"	566
"K-3002 Moss"	"66 years"	548
"K-3002 Moss"	"67 years"	550
"K-3002 Moss"	"68 years"	523
"K-3002 Moss"	"69 years"	611
"K-3002 Moss"	"70 years"	536
"K-3002 Moss"	"71 years"	585
"K-3002 Moss"	"72 years"	577
"K-3002 Moss"	"73 years"	591
"K-3002 Moss"	"74 years"	544
"K-3002 Moss"	"75 years"	496
"K-3002 Moss"	"76 years"	397
"K-3002 Moss"	"77 years"	380
"K-3002 Moss"	"78 years"	302
"K-3002 Moss"	"79 years"	325
"K-3002 Moss"	"80 years"	263
"K-3002 Moss"	"81 years"	271
"K-3002 Moss"	"82 years"	280
"K-3002 Moss"	"83 years"	238
"K-3002 Moss"	"84 years"	201
"K-3002 Moss"	"85 years"	169
"K-3002 Moss"	"86 years"	139
"K-3002 Moss"	"87 years"	142
"K-3002 Moss"	"88 years"	140
"K-3002 Moss"	"89 years"	122
"K-3002 Moss"	"90 years"	69
"K-3002 Moss"	"91 years"	71
"K-3002 Moss"	"92 years"	62
"K-3002 Moss"	"93 years"	52
"K-3002 Moss"	"94 years"	44
"K-3002 Moss"	"95 years"	36
"K-3002 Moss"	"96 years"	19
"K-3002 Moss"	"97 years"	16
"K-3002 Moss"	"98 years"	8
"K-3002 Moss"	"99 years"	5
"K-3002 Moss"	"100 years"	5
"K-3002 Moss"	"101 years"	4
"K-3002 Moss"	"102 years"	0
"K-3002 Moss"	"103 years"	0
"K-3002 Moss"	"104 years"	0
"K-3002 Moss"	"105 years or older"	0
"K-3003 Sarpsborg"	"0 years"	550
"K-3003 Sarpsborg"	"1 year"	538
"K-3003 Sarpsborg"	"2 years"	601
"K-3003 Sarpsborg"	"3 years"	618
"K-3003 Sarpsborg"	"4 years"	635
"K-3003 Sarpsborg"	"5 years"	621
"K-3003 Sarpsborg"	"6 years"	647
"K-3003 Sarpsborg"	"7 years"	684
"K-3003 Sarpsborg"	"8 years"	665
"K-3003 Sarpsborg"	"9 years"	656
"K-3003 Sarpsborg"	"10 years"	798
"K-3003 Sarpsborg"	"11 years"	694
"K-3003 Sarpsborg"	"12 years"	706
"K-3003 Sarpsborg"	"13 years"	693
"K-3003 Sarpsborg"	"14 years"	677
"K-3003 Sarpsborg"	"15 years"	640
"K-3003 Sarpsborg"	"16 years"	699
"K-3003 Sarpsborg"	"17 years"	726
"K-3003 Sarpsborg"	"18 years"	757
"K-3003 Sarpsborg"	"19 years"	696
"K-3003 Sarpsborg"	"20 years"	676
"K-3003 Sarpsborg"	"21 years"	611
"K-3003 Sarpsborg"	"22 years"	639
"K-3003 Sarpsborg"	"23 years"	664
"K-3003 Sarpsborg"	"24 years"	690
"K-3003 Sarpsborg"	"25 years"	633
"K-3003 Sarpsborg"	"26 years"	712
"K-3003 Sarpsborg"	"27 years"	717
"K-3003 Sarpsborg"	"28 years"	729
"K-3003 Sarpsborg"	"29 years"	758
"K-3003 Sarpsborg"	"30 years"	680
"K-3003 Sarpsborg"	"31 years"	763
"K-3003 Sarpsborg"	"32 years"	678
"K-3003 Sarpsborg"	"33 years"	678
"K-3003 Sarpsborg"	"34 years"	713
"K-3003 Sarpsborg"	"35 years"	670
"K-3003 Sarpsborg"	"36 years"	732
"K-3003 Sarpsborg"	"37 years"	717
"K-3003 Sarpsborg"	"38 years"	694
"K-3003 Sarpsborg"	"39 years"	754
"K-3003 Sarpsborg"	"40 years"	676
"K-3003 Sarpsborg"	"41 years"	721
"K-3003 Sarpsborg"	"42 years"	702
"K-3003 Sarpsborg"	"43 years"	774
"K-3003 Sarpsborg"	"44 years"	771
"K-3003 Sarpsborg"	"45 years"	787
"K-3003 Sarpsborg"	"46 years"	804
"K-3003 Sarpsborg"	"47 years"	882
"K-3003 Sarpsborg"	"48 years"	825
"K-3003 Sarpsborg"	"49 years"	825
"K-3003 Sarpsborg"	"50 years"	851
"K-3003 Sarpsborg"	"51 years"	820
"K-3003 Sarpsborg"	"52 years"	792
"K-3003 Sarpsborg"	"53 years"	788
"K-3003 Sarpsborg"	"54 years"	782
"K-3003 Sarpsborg"	"55 years"	779
"K-3003 Sarpsborg"	"56 years"	720
"K-3003 Sarpsborg"	"57 years"	750
"K-3003 Sarpsborg"	"58 years"	697
"K-3003 Sarpsborg"	"59 years"	676
"K-3003 Sarpsborg"	"60 years"	712
"K-3003 Sarpsborg"	"61 years"	685
"K-3003 Sarpsborg"	"62 years"	720
"K-3003 Sarpsborg"	"63 years"	696
"K-3003 Sarpsborg"	"64 years"	558
"K-3003 Sarpsborg"	"65 years"	620
"K-3003 Sarpsborg"	"66 years"	635
"K-3003 Sarpsborg"	"67 years"	628
"K-3003 Sarpsborg"	"68 years"	547
"K-3003 Sarpsborg"	"69 years"	543
"K-3003 Sarpsborg"	"70 years"	593
"K-3003 Sarpsborg"	"71 years"	597
"K-3003 Sarpsborg"	"72 years"	657
"K-3003 Sarpsborg"	"73 years"	656
"K-3003 Sarpsborg"	"74 years"	598
"K-3003 Sarpsborg"	"75 years"	545
"K-3003 Sarpsborg"	"76 years"	453
"K-3003 Sarpsborg"	"77 years"	392
"K-3003 Sarpsborg"	"78 years"	319
"K-3003 Sarpsborg"	"79 years"	332
"K-3003 Sarpsborg"	"80 years"	308
"K-3003 Sarpsborg"	"81 years"	314
"K-3003 Sarpsborg"	"82 years"	288
"K-3003 Sarpsborg"	"83 years"	248
"K-3003 Sarpsborg"	"84 years"	200
"K-3003 Sarpsborg"	"85 years"	181
"K-3003 Sarpsborg"	"86 years"	161
"K-3003 Sarpsborg"	"87 years"	163
"K-3003 Sarpsborg"	"88 years"	128
"K-3003 Sarpsborg"	"89 years"	156
"K-3003 Sarpsborg"	"90 years"	107
"K-3003 Sarpsborg"	"91 years"	89
"K-3003 Sarpsborg"	"92 years"	67
"K-3003 Sarpsborg"	"93 years"	66
"K-3003 Sarpsborg"	"94 years"	50
"K-3003 Sarpsborg"	"95 years"	38
"K-3003 Sarpsborg"	"96 years"	22
"K-3003 Sarpsborg"	"97 years"	7
"K-3003 Sarpsborg"	"98 years"	7
"K-3003 Sarpsborg"	"99 years"	5
"K-3003 Sarpsborg"	"100 years"	6
"K-3003 Sarpsborg"	"101 years"	1
"K-3003 Sarpsborg"	"102 years"	3
"K-3003 Sarpsborg"	"103 years"	0
"K-3003 Sarpsborg"	"104 years"	0
"K-3003 Sarpsborg"	"105 years or older"	0
"K-3004 Fredrikstad"	"0 years"	735
"K-3004 Fredrikstad"	"1 year"	791
"K-3004 Fredrikstad"	"2 years"	819
"K-3004 Fredrikstad"	"3 years"	848
"K-3004 Fredrikstad"	"4 years"	857
"K-3004 Fredrikstad"	"5 years"	865
"K-3004 Fredrikstad"	"6 years"	858
"K-3004 Fredrikstad"	"7 years"	917
"K-3004 Fredrikstad"	"8 years"	905
"K-3004 Fredrikstad"	"9 years"	948
"K-3004 Fredrikstad"	"10 years"	1045
"K-3004 Fredrikstad"	"11 years"	948
"K-3004 Fredrikstad"	"12 years"	1001
"K-3004 Fredrikstad"	"13 years"	988
"K-3004 Fredrikstad"	"14 years"	1041
"K-3004 Fredrikstad"	"15 years"	995
"K-3004 Fredrikstad"	"16 years"	1001
"K-3004 Fredrikstad"	"17 years"	1034
"K-3004 Fredrikstad"	"18 years"	992
"K-3004 Fredrikstad"	"19 years"	1077
