"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2021"
"030101a Gamle Oslo";"37 years";1327
"030101a Gamle Oslo";"38 years";1229
"030101a Gamle Oslo";"39 years";1092
"030101a Gamle Oslo";"40 years";1073
"030101a Gamle Oslo";"41 years";1005
"030101a Gamle Oslo";"42 years";963
"030101a Gamle Oslo";"43 years";939
"030101a Gamle Oslo";"44 years";894
"030101a Gamle Oslo";"45 years";832
"030101a Gamle Oslo";"46 years";787
"030101a Gamle Oslo";"47 years";741
"030101a Gamle Oslo";"48 years";775
"030101a Gamle Oslo";"49 years";708
"030101a Gamle Oslo";"50 years";667
"030101a Gamle Oslo";"51 years";634
"030101a Gamle Oslo";"52 years";605
"030101a Gamle Oslo";"53 years";605
"030101a Gamle Oslo";"54 years";607
"030101a Gamle Oslo";"55 years";568
"030101a Gamle Oslo";"56 years";574
"030101a Gamle Oslo";"57 years";515
"030101a Gamle Oslo";"58 years";534
"030101a Gamle Oslo";"59 years";473
"030101a Gamle Oslo";"60 years";455
"030101a Gamle Oslo";"61 years";403
"030101a Gamle Oslo";"62 years";429
"030101a Gamle Oslo";"63 years";379
"030101a Gamle Oslo";"64 years";393
"030101a Gamle Oslo";"65 years";404
"030101a Gamle Oslo";"66 years";359
"030101a Gamle Oslo";"67 years";335
"030101a Gamle Oslo";"68 years";282
"030101a Gamle Oslo";"69 years";294
"030101a Gamle Oslo";"70 years";303
"030101a Gamle Oslo";"71 years";269
"030101a Gamle Oslo";"72 years";257
"030101a Gamle Oslo";"73 years";233
"030101a Gamle Oslo";"74 years";239
"030101a Gamle Oslo";"75 years";214
"030101a Gamle Oslo";"76 years";181
"030101a Gamle Oslo";"77 years";153
"030101a Gamle Oslo";"78 years";113
"030101a Gamle Oslo";"79 years";81
"030101a Gamle Oslo";"80 years";110
"030101a Gamle Oslo";"81 years";68
"030101a Gamle Oslo";"82 years";71
"030101a Gamle Oslo";"83 years";62
"030101a Gamle Oslo";"84 years";57
"030101a Gamle Oslo";"85 years";48
"030101a Gamle Oslo";"86 years";42
"030101a Gamle Oslo";"87 years";33
"030101a Gamle Oslo";"88 years";40
"030101a Gamle Oslo";"89 years";39
"030101a Gamle Oslo";"90 years";26
"030101a Gamle Oslo";"91 years";18
"030101a Gamle Oslo";"92 years";15
"030101a Gamle Oslo";"93 years";18
"030101a Gamle Oslo";"94 years";22
"030101a Gamle Oslo";"95 years";15
"030101a Gamle Oslo";"96 years";8
"030101a Gamle Oslo";"97 years";10
"030101a Gamle Oslo";"98 years";5
"030101a Gamle Oslo";"99 years";3
"030101a Gamle Oslo";"100 years";3
"030101a Gamle Oslo";"101 years";4
"030101a Gamle Oslo";"102 years";0
"030101a Gamle Oslo";"103 years";0
"030101a Gamle Oslo";"104 years";1
"030101a Gamle Oslo";"105 years or older";6
"030102a Grünerløkka";"0 years";989
"030102a Grünerløkka";"1 year";870
"030102a Grünerløkka";"2 years";679
"030102a Grünerløkka";"3 years";643
"030102a Grünerløkka";"4 years";600
"030102a Grünerløkka";"5 years";512
"030102a Grünerløkka";"6 years";483
"030102a Grünerløkka";"7 years";425
"030102a Grünerløkka";"8 years";443
"030102a Grünerløkka";"9 years";437
"030102a Grünerløkka";"10 years";382
"030102a Grünerløkka";"11 years";408
"030102a Grünerløkka";"12 years";343
"030102a Grünerløkka";"13 years";349
"030102a Grünerløkka";"14 years";336
"030102a Grünerløkka";"15 years";315
"030102a Grünerløkka";"16 years";276
"030102a Grünerløkka";"17 years";315
"030102a Grünerløkka";"18 years";289
"030102a Grünerløkka";"19 years";434
"030102a Grünerløkka";"20 years";701
"030102a Grünerløkka";"21 years";879
"030102a Grünerløkka";"22 years";1051
"030102a Grünerløkka";"23 years";1260
"030102a Grünerløkka";"24 years";1620
"030102a Grünerløkka";"25 years";1848
"030102a Grünerløkka";"26 years";2136
"030102a Grünerløkka";"27 years";2375
"030102a Grünerløkka";"28 years";2551
"030102a Grünerløkka";"29 years";2542
"030102a Grünerløkka";"30 years";2589
"030102a Grünerløkka";"31 years";2397
"030102a Grünerløkka";"32 years";2237
"030102a Grünerløkka";"33 years";2019
"030102a Grünerløkka";"34 years";1803
"030102a Grünerløkka";"35 years";1614
"030102a Grünerløkka";"36 years";1494
"030102a Grünerløkka";"37 years";1351
"030102a Grünerløkka";"38 years";1298
"030102a Grünerløkka";"39 years";1097
"030102a Grünerløkka";"40 years";1178
"030102a Grünerløkka";"41 years";911
"030102a Grünerløkka";"42 years";925
"030102a Grünerløkka";"43 years";811
"030102a Grünerløkka";"44 years";801
"030102a Grünerløkka";"45 years";788
"030102a Grünerløkka";"46 years";746
"030102a Grünerløkka";"47 years";706
"030102a Grünerløkka";"48 years";691
"030102a Grünerløkka";"49 years";629
"030102a Grünerløkka";"50 years";690
"030102a Grünerløkka";"51 years";598
"030102a Grünerløkka";"52 years";539
"030102a Grünerløkka";"53 years";527
"030102a Grünerløkka";"54 years";541
"030102a Grünerløkka";"55 years";446
"030102a Grünerløkka";"56 years";491
"030102a Grünerløkka";"57 years";465
"030102a Grünerløkka";"58 years";437
"030102a Grünerløkka";"59 years";394
"030102a Grünerløkka";"60 years";379
"030102a Grünerløkka";"61 years";365
"030102a Grünerløkka";"62 years";342
"030102a Grünerløkka";"63 years";334
"030102a Grünerløkka";"64 years";377
"030102a Grünerløkka";"65 years";310
"030102a Grünerløkka";"66 years";319
"030102a Grünerløkka";"67 years";308
"030102a Grünerløkka";"68 years";277
"030102a Grünerløkka";"69 years";222
"030102a Grünerløkka";"70 years";244
"030102a Grünerløkka";"71 years";256
"030102a Grünerløkka";"72 years";211
"030102a Grünerløkka";"73 years";201
"030102a Grünerløkka";"74 years";214
"030102a Grünerløkka";"75 years";175
"030102a Grünerløkka";"76 years";179
"030102a Grünerløkka";"77 years";140
"030102a Grünerløkka";"78 years";122
"030102a Grünerløkka";"79 years";84
"030102a Grünerløkka";"80 years";104
"030102a Grünerløkka";"81 years";91
"030102a Grünerløkka";"82 years";51
"030102a Grünerløkka";"83 years";65
"030102a Grünerløkka";"84 years";36
"030102a Grünerløkka";"85 years";36
"030102a Grünerløkka";"86 years";46
"030102a Grünerløkka";"87 years";32
"030102a Grünerløkka";"88 years";33
"030102a Grünerløkka";"89 years";35
"030102a Grünerløkka";"90 years";22
"030102a Grünerløkka";"91 years";32
"030102a Grünerløkka";"92 years";27
"030102a Grünerløkka";"93 years";11
"030102a Grünerløkka";"94 years";13
"030102a Grünerløkka";"95 years";12
"030102a Grünerløkka";"96 years";12
"030102a Grünerløkka";"97 years";7
"030102a Grünerløkka";"98 years";9
"030102a Grünerløkka";"99 years";2
"030102a Grünerløkka";"100 years";2
"030102a Grünerløkka";"101 years";6
"030102a Grünerløkka";"102 years";1
"030102a Grünerløkka";"103 years";5
"030102a Grünerløkka";"104 years";0
"030102a Grünerløkka";"105 years or older";3
"030103a Sagene";"0 years";752
"030103a Sagene";"1 year";659
"030103a Sagene";"2 years";559
"030103a Sagene";"3 years";462
"030103a Sagene";"4 years";422
"030103a Sagene";"5 years";386
"030103a Sagene";"6 years";350
"030103a Sagene";"7 years";315
"030103a Sagene";"8 years";303
"030103a Sagene";"9 years";306
"030103a Sagene";"10 years";259
"030103a Sagene";"11 years";233
"030103a Sagene";"12 years";236
"030103a Sagene";"13 years";210
"030103a Sagene";"14 years";174
"030103a Sagene";"15 years";201
"030103a Sagene";"16 years";197
"030103a Sagene";"17 years";192
"030103a Sagene";"18 years";198
"030103a Sagene";"19 years";259
"030103a Sagene";"20 years";397
"030103a Sagene";"21 years";570
"030103a Sagene";"22 years";734
"030103a Sagene";"23 years";843
"030103a Sagene";"24 years";1108
"030103a Sagene";"25 years";1315
"030103a Sagene";"26 years";1474
"030103a Sagene";"27 years";1747
"030103a Sagene";"28 years";1777
"030103a Sagene";"29 years";1869
"030103a Sagene";"30 years";1912
"030103a Sagene";"31 years";1773
"030103a Sagene";"32 years";1628
"030103a Sagene";"33 years";1402
"030103a Sagene";"34 years";1293
"030103a Sagene";"35 years";1137
"030103a Sagene";"36 years";1065
"030103a Sagene";"37 years";898
"030103a Sagene";"38 years";846
"030103a Sagene";"39 years";799
"030103a Sagene";"40 years";737
"030103a Sagene";"41 years";718
"030103a Sagene";"42 years";611
"030103a Sagene";"43 years";539
"030103a Sagene";"44 years";534
"030103a Sagene";"45 years";515
"030103a Sagene";"46 years";537
"030103a Sagene";"47 years";471
"030103a Sagene";"48 years";450
"030103a Sagene";"49 years";440
"030103a Sagene";"50 years";447
"030103a Sagene";"51 years";422
"030103a Sagene";"52 years";397
"030103a Sagene";"53 years";351
"030103a Sagene";"54 years";374
"030103a Sagene";"55 years";387
"030103a Sagene";"56 years";356
"030103a Sagene";"57 years";351
"030103a Sagene";"58 years";303
"030103a Sagene";"59 years";313
"030103a Sagene";"60 years";318
"030103a Sagene";"61 years";290
"030103a Sagene";"62 years";266
